frame,left_elbow,right_elbow,left_knee,right_knee
395,154.73,156.05,179.61,171.97
396,156.32,156.54,179.2,173.26
397,157.76,156.92,178.94,173.6
398,158.81,158.4,176.04,175.17
399,160.31,158.28,173.23,177.56
400,159.65,157.79,168.11,179.27
401,159.81,157.78,164.16,175.85
402,158.88,154.82,161.64,173.53
403,158.3,155.91,161.0,173.16
404,158.44,155.6,164.52,174.83
405,160.25,155.16,167.47,176.86
406,161.89,155.24,171.62,179.86
407,158.97,153.27,177.17,174.13
408,161.58,150.35,179.8,172.31
409,162.27,148.1,178.36,170.74
410,161.74,142.12,177.96,170.1
411,162.23,139.16,177.76,170.05
412,161.89,138.01,178.19,169.37
413,162.77,137.76,178.01,169.63
414,162.4,142.34,177.26,169.69
415,161.45,142.71,176.65,169.82
416,159.99,144.99,175.59,169.12
417,159.38,151.56,173.91,166.64
418,160.98,156.87,172.93,164.18
419,161.34,161.42,172.91,162.32
420,162.51,163.55,171.12,159.58
421,163.03,165.44,171.46,158.79
422,161.55,168.01,173.31,161.66
423,157.7,167.5,175.81,166.21
424,156.21,167.42,177.49,167.59
425,154.41,167.7,178.58,168.32
426,151.14,165.63,179.72,170.69
427,151.68,163.33,177.67,173.3
428,149.56,163.75,177.57,172.95
429,150.49,161.63,177.06,174.09
430,147.87,159.51,175.59,174.59
431,147.42,157.18,176.06,174.55
432,147.86,157.26,176.53,173.68
433,150.69,157.02,175.83,174.7
434,152.11,156.72,172.82,178.39
435,152.04,156.77,173.09,178.14
436,152.36,158.65,172.99,178.77
437,151.82,158.02,171.87,179.59
438,152.54,155.98,173.08,178.26
439,155.21,155.66,175.17,177.3
440,157.02,156.38,177.37,176.05
441,157.58,157.36,177.68,174.72
442,157.72,157.49,177.65,174.71
443,155.61,158.84,178.45,172.99
444,152.46,158.73,179.8,173.71
445,154.88,159.99,179.44,173.44
446,154.7,158.77,179.48,171.94
447,149.88,152.23,179.89,176.02
448,151.3,149.62,179.82,175.58
449,150.83,147.44,178.96,173.44
450,148.36,145.83,177.51,171.94
451,149.1,141.37,176.92,171.25
452,154.22,144.94,175.88,167.38
453,156.17,144.93,177.09,167.91
454,157.44,145.72,178.04,168.18
455,158.59,146.66,178.67,168.61
456,159.82,146.77,179.53,169.58
457,158.21,148.75,179.23,172.36
458,157.96,152.52,179.85,172.99
459,159.84,154.8,179.69,173.07
460,160.42,155.52,179.66,173.11
461,162.63,158.77,179.14,168.8
462,161.53,159.07,179.16,170.05
463,162.48,156.92,178.25,171.63
464,158.66,158.58,179.25,171.05
465,155.69,159.78,178.56,172.16
466,152.28,160.14,178.01,171.61
467,151.71,160.85,177.24,173.98
468,149.3,159.31,178.24,174.58
469,148.37,159.62,177.64,175.2
470,148.12,160.73,177.19,175.68
471,148.17,161.22,177.76,172.85
472,149.71,160.53,177.43,172.95
473,145.61,159.73,176.16,176.64
474,148.02,160.59,174.84,176.82
475,147.85,160.65,176.25,175.55
476,151.37,160.87,176.47,175.75
477,153.95,157.7,176.87,173.95
478,156.76,153.19,176.63,174.68
479,155.9,149.97,175.71,176.13
480,156.87,149.17,175.18,175.26
481,154.5,150.48,175.76,173.42
482,156.44,149.16,176.64,173.33
483,156.57,146.22,176.53,173.59
484,156.54,145.77,176.1,174.24
485,157.12,148.46,175.69,173.84
486,158.07,149.35,175.93,174.04
487,159.56,148.58,177.84,174.25
488,160.55,149.12,174.42,174.81
489,160.62,148.81,174.24,175.2
490,158.88,149.16,176.31,173.87
491,159.0,149.89,175.87,174.42
492,152.93,153.51,177.25,173.49
493,150.43,155.1,177.72,172.57
494,147.61,157.3,176.54,174.17
495,147.42,157.24,176.48,174.14
496,145.49,155.54,176.88,175.12
497,144.87,155.84,176.71,175.16
498,145.08,156.0,177.46,174.27
499,144.74,157.39,177.07,174.45
500,146.89,157.5,177.01,174.43
501,147.21,154.75,177.59,173.99
502,151.79,154.17,176.6,173.05
503,153.5,151.85,176.05,172.49
504,155.28,149.91,178.44,171.64
505,155.23,150.31,178.1,170.69
506,155.3,148.88,176.63,170.39
507,156.1,147.53,176.6,173.57
508,158.2,144.23,178.38,174.21
509,160.23,142.44,177.6,174.22
510,160.26,142.69,177.43,174.49
511,159.54,143.53,177.53,174.67
512,160.59,146.9,178.46,174.18
513,161.31,147.37,177.79,174.09
514,158.53,148.97,176.1,172.83
515,158.1,147.31,176.42,173.05
516,157.18,148.03,176.12,173.3
517,156.25,149.6,176.85,172.78
518,151.94,151.1,177.74,172.29
519,148.51,154.47,178.91,171.21
520,146.08,155.09,177.79,172.47
521,144.42,155.05,177.22,173.07
522,143.02,154.27,177.14,174.26
523,141.11,154.97,177.19,174.16
524,141.2,155.93,176.55,174.56
525,142.19,156.38,176.93,173.82
526,143.04,157.6,178.15,172.91
527,146.07,159.11,177.93,173.64
528,147.56,155.76,177.02,173.51
529,152.84,151.51,177.13,172.99
530,152.38,152.42,178.02,171.27
531,154.57,151.87,178.38,170.49
532,154.08,150.38,178.71,169.37
533,154.35,149.25,178.34,169.7
534,157.18,145.08,178.59,173.74
535,158.82,145.32,178.4,172.96
536,159.41,144.63,177.67,173.3
537,159.32,144.99,177.84,173.32
538,158.47,145.91,177.12,174.42
539,158.46,148.48,178.04,173.7
540,159.13,148.19,177.69,173.45
541,158.84,151.53,178.17,169.35
542,158.42,151.26,178.75,170.5
543,156.17,151.26,177.84,171.23
544,154.57,150.02,177.85,171.48
545,150.55,150.56,179.2,171.14
546,147.49,151.98,179.52,171.25
547,146.46,156.28,177.64,172.55
548,145.01,154.42,177.73,173.09
549,143.75,154.24,177.85,173.32
550,142.58,154.5,177.94,173.31
551,142.29,155.21,177.6,173.04
552,144.6,155.92,178.03,172.51
553,146.13,159.04,177.94,172.47
554,146.39,156.32,177.94,173.22
555,149.36,152.08,175.28,173.16
556,152.3,151.09,176.29,171.64
557,153.64,148.68,177.6,171.09
558,154.44,148.17,177.77,170.0
559,153.9,147.85,176.98,169.66
560,156.97,147.97,177.65,172.91
561,157.92,146.86,177.76,173.32
562,156.25,145.96,176.16,171.99
563,158.47,146.93,176.5,173.27
564,157.79,147.98,175.63,173.23
565,159.03,148.2,175.93,173.13
566,162.62,147.08,178.01,174.17
567,159.21,144.56,175.99,173.28
568,158.89,145.75,176.77,173.13
569,157.91,147.46,175.84,173.21
570,158.47,147.7,177.75,172.18
571,153.12,151.78,178.76,171.54
572,151.57,154.83,178.75,171.41
573,148.31,157.23,178.34,172.01
574,147.25,155.76,177.85,172.52
575,145.36,154.55,177.8,173.05
576,144.87,155.38,178.09,172.38
577,144.82,157.56,178.09,172.84
578,145.04,157.09,178.53,172.99
579,148.53,152.95,178.04,171.82
580,151.24,153.06,177.44,171.56
581,153.9,149.56,176.89,172.24
582,153.91,150.33,177.73,170.12
583,156.11,150.92,178.84,168.6
584,155.36,149.7,176.79,169.15
585,157.21,148.96,176.0,172.81
586,158.31,146.05,178.81,172.96
587,159.08,144.57,178.3,173.23
588,159.32,145.71,178.66,173.19
589,160.03,147.49,176.33,173.25
590,162.16,147.07,177.55,173.69
591,159.77,147.53,178.57,172.48
592,158.75,150.45,178.57,170.32
593,157.08,151.64,177.92,171.15
594,155.97,149.91,178.12,171.5
595,152.56,152.01,178.69,170.83
596,149.2,157.11,178.72,172.34
597,147.63,157.58,176.79,172.91
598,145.73,156.84,177.5,172.66
599,143.96,157.23,177.04,172.97
600,143.89,156.98,177.49,172.99
601,145.12,157.95,177.35,172.89
602,145.31,159.08,177.97,172.8
603,146.96,159.76,179.07,172.94
604,150.43,155.95,178.94,172.56
605,154.37,153.39,177.75,173.37
606,154.99,153.52,177.79,171.81
607,157.74,153.59,177.6,171.89
608,157.45,152.57,177.05,170.81
609,156.59,152.35,177.35,169.98
610,159.27,148.53,178.72,173.49
611,160.48,146.37,178.33,174.64
612,161.41,146.61,177.72,174.31
613,162.22,146.8,177.91,174.08
614,161.9,148.13,177.93,174.02
615,161.71,149.66,178.87,173.23
616,159.29,151.61,177.34,170.17
617,159.12,153.0,176.52,171.11
618,158.62,153.21,177.73,171.26
619,155.9,151.39,178.28,171.53
620,154.07,151.12,179.41,170.62
621,150.21,154.17,178.98,170.96
622,146.84,157.93,178.7,172.46
623,146.86,157.12,177.4,172.13
624,144.96,157.0,178.02,172.07
625,144.72,157.41,177.64,172.79
626,145.16,157.68,178.17,172.73
627,145.24,157.99,178.9,172.41
628,146.94,153.47,179.33,172.2
629,150.61,152.57,177.13,172.78
630,152.82,152.42,178.32,170.74
631,153.05,150.2,178.39,171.06
632,156.22,150.22,178.21,170.11
633,156.01,150.95,178.53,169.69
634,156.78,150.15,177.15,169.62
635,159.13,148.57,176.38,172.66
636,161.72,146.76,178.28,173.45
637,161.88,146.45,178.71,173.29
638,162.33,146.32,178.01,173.63
639,161.21,147.55,177.59,173.36
640,160.36,150.3,178.0,169.93
641,160.5,149.98,178.2,170.08
642,158.98,149.84,179.27,169.73
643,157.21,152.16,178.78,170.23
644,154.77,149.81,179.23,170.85
645,150.06,154.25,179.72,169.78
646,146.65,155.31,179.73,171.85
647,146.65,156.42,178.15,172.27
648,145.35,156.6,178.38,172.21
649,144.34,157.83,177.75,172.56
650,144.33,159.32,178.47,172.64
651,144.83,156.16,178.83,173.4
652,146.91,152.66,178.93,171.33
653,151.28,152.06,177.89,172.01
654,152.41,152.46,177.46,170.39
655,152.98,150.6,178.24,171.0
656,153.78,151.15,177.85,170.16
657,152.99,150.76,176.84,170.06
658,152.67,149.36,175.83,169.86
659,155.03,149.55,175.87,169.65
660,155.95,149.02,176.45,169.71
661,158.7,146.58,176.44,173.88
662,155.56,148.62,175.61,169.72
663,155.79,148.81,177.04,169.56
664,157.79,150.8,178.62,169.8
665,157.58,149.81,179.18,169.86
666,157.75,150.37,178.22,170.48
667,155.69,150.89,178.39,170.39
668,153.93,151.23,179.08,170.34
669,148.36,154.99,179.32,169.89
670,145.65,157.72,178.6,172.44
671,143.6,157.29,178.18,172.61
672,143.7,157.61,178.35,172.59
673,146.5,154.99,178.5,170.54
674,146.44,154.86,178.51,170.66
675,152.83,149.69,177.03,172.78
676,153.11,148.63,176.96,173.34
677,155.53,152.55,176.63,171.27
678,155.22,151.51,176.52,170.46
679,157.89,148.43,176.99,172.76
680,159.39,148.08,176.77,173.08
681,159.8,147.48,177.19,173.87
682,160.87,145.36,177.32,174.51
683,159.61,145.0,175.56,173.72
684,159.22,146.2,177.02,173.56
685,159.31,147.69,177.77,172.37
686,159.3,149.75,178.59,170.94
687,155.98,152.42,178.44,170.75
688,153.44,155.85,178.48,170.52
689,150.49,159.18,179.1,171.82
690,145.65,157.72,179.27,171.94
691,144.14,157.18,179.16,172.04
692,143.42,157.75,178.47,172.04
693,144.03,158.47,178.24,172.7
694,145.61,160.0,178.57,172.39
695,149.57,158.52,179.34,169.31
696,154.09,156.65,177.65,170.96
697,155.95,154.55,175.64,171.82
698,155.16,154.71,175.75,172.94
699,156.33,154.09,175.84,172.48
700,157.22,153.91,175.98,172.25
701,157.2,153.98,175.97,172.29
702,160.02,149.57,176.23,175.74
703,159.8,149.8,176.87,175.19
704,159.47,149.54,177.97,175.16
705,159.16,151.46,175.22,173.37
706,160.03,153.3,175.01,173.93
707,163.91,153.94,176.72,171.53
708,159.95,154.42,176.71,171.35
709,156.29,155.63,176.64,171.0
710,153.74,156.79,177.19,169.83
711,151.0,156.74,177.39,169.14
712,149.27,155.5,178.33,168.51
713,149.29,154.36,178.17,168.41
714,150.68,154.82,178.21,169.31
715,151.66,150.25,177.06,172.64
716,154.6,149.98,178.41,169.38
717,157.36,149.13,177.83,169.87
718,157.51,148.28,177.01,170.06
719,152.98,147.73,176.92,171.42
720,153.78,144.9,176.62,172.77
721,154.87,144.72,176.01,172.97
722,156.22,143.67,176.15,173.55
723,155.6,143.05,176.57,173.81
724,158.29,145.11,176.1,173.25
725,157.25,147.25,177.04,172.21
726,156.15,146.53,178.18,172.27
727,155.67,150.02,178.96,171.24
728,153.92,154.54,178.53,171.42
729,152.07,156.52,177.78,173.29
730,150.75,158.23,177.59,173.61
731,149.31,159.65,177.43,173.5
732,147.67,159.76,178.66,173.07
733,147.64,159.61,177.88,173.61
734,147.13,156.63,177.21,172.45
735,152.21,155.1,177.77,172.5
736,152.25,150.05,176.96,173.51
737,153.97,153.1,177.45,172.17
738,153.97,153.17,175.81,172.73
739,154.62,151.94,175.98,171.46
740,158.33,147.92,176.34,174.43
741,159.66,148.06,175.73,174.59
742,160.73,147.68,175.86,175.18
743,157.08,148.74,174.8,173.07
744,158.28,149.0,176.7,172.9
745,159.03,149.8,175.31,171.24
746,156.89,152.13,176.26,171.08
747,158.46,155.34,179.26,167.33
748,157.43,159.92,179.8,167.42
749,151.56,161.6,179.04,166.94
750,148.75,159.87,178.8,167.92
751,147.75,159.45,178.3,167.87
752,147.39,158.51,178.49,168.05
753,147.97,158.49,178.67,168.61
754,150.03,157.83,179.6,168.55
755,149.31,159.59,178.78,173.42
756,154.34,158.41,178.45,169.85
757,156.89,158.64,177.3,169.2
758,158.62,154.98,176.21,170.55
759,159.13,153.2,175.74,171.3
760,158.76,153.16,176.23,170.92
761,159.57,152.61,175.84,171.29
762,160.46,152.13,175.93,171.6
763,156.93,150.3,174.43,173.39
764,156.32,149.4,174.16,173.72
765,158.93,146.26,178.52,173.8
766,159.26,147.94,177.36,172.33
767,159.26,148.86,177.07,172.39
768,158.61,149.09,176.96,172.87
769,160.24,150.21,177.06,172.43
770,162.44,151.42,177.59,168.99
771,160.44,152.02,177.91,168.52
